frame x y z 
2515 4.18056 16.3678 0.985754
-1 0 0 0
2521 4.45994 19.3796 2.56536
2527 4.46959 19.3705 1.94379
2531 4.56149 19.4275 1.19829
2535 4.5569 19.4147 0.442168
2540 4.60683 19.4873 0.631824
2544 4.60456 19.6132 1.00087
2550 4.73472 19.8166 1.47557
2565 4.90082 20.1694 0.68513
2601 5.41972 20.5405 0.339984
-1 0 0 0
2727 4.52256 16.8424 2.3363
2732 4.09092 16.0514 0.212511
2737 4.17623 16.137 0.311482
-1 0 0 0
2741 4.5922 18.6009 3.52161
2749 4.62443 19.4387 3.33956
2754 4.75445 19.6037 3.29384
2761 4.96767 19.4539 3.4021
2766 5.11193 19.3356 3.17289
2770 5.25624 19.2513 2.77056
2775 5.33025 19.1376 2.22033
-1 0 0 0
2779 4.52353 16.6162 0.0443956
2784 5.65453 18.9522 0.208712
2791 5.83374 18.7551 1.15825
2852 6.12502 16.6339 0.199819
2856 6.2163 16.6183 0.143998
2869 6.19126 16.4567 0.226321
2874 6.23562 16.3262 0.140619
-1 0 0 0
2878 5.52364 18.9462 3.5869
2882 5.27605 19.4125 3.59336
2889 4.99026 19.5624 3.30255
2895 4.74392 19.1429 2.5824
2900 4.57406 18.8307 1.78496
2912 4.24192 18.1459 0.861718
2917 4.15187 17.8965 1.40778
2925 4.02151 17.4592 1.80485
2983 2.62023 16.4651 0.476008
2987 3.42766 17.5727 2.94638
2992 3.67783 18.2724 3.44171
2996 3.8129 18.5873 3.59331
3002 4.08303 19.4204 3.53415
3006 4.2486 19.6925 3.25814
3011 4.37315 19.3409 3.21969
3017 4.51167 18.9032 3.18841
3022 4.62172 18.6397 2.91625
3026 4.74608 18.2762 2.35333
3033 4.88559 17.8377 1.17977
3039 5.0079 17.5059 0.21451
3043 5.12323 17.0726 0.965638
3047 5.18438 16.8117 1.41206
3052 5.30881 16.5113 1.67718
3076 4.41137 15.5069 0.163917
3114 4.48077 16.9879 2.60164
3119 4.46661 17.73 3.21642
3123 4.44514 18.31 3.45248
3127 4.4418 18.9948 3.59058
3131 4.44649 19.5731 3.47279
3135 4.45658 19.5173 3.27002
3142 4.61224 19.5043 3.15502
3152 4.74594 19.6868 3.14119
3160 4.92822 19.6262 2.8734
3166 5.02474 19.5813 2.17431
3170 5.10606 19.5359 1.51345
3178 5.23792 19.4345 0.296111
3182 5.3144 19.352 0.883133
3188 5.45174 19.2746 1.42465
3192 5.57325 19.238 1.58612
3197 5.65682 19.1316 1.54477
3257 5.12177 16.8908 0.1643
3278 4.74556 15.8328 0.140761
3348 4.38066 16.7095 2.93786
3353 4.45054 17.4468 3.37415
3357 4.53418 18.184 3.58102
3364 4.55854 19.1741 3.4112
-1 0 0 0
3369 4.49553 16.1081 1.1475
-1 0 0 0
3373 4.69926 19.4688 3.31416
3379 4.78698 19.1773 3.20414
3386 4.92988 18.7929 2.56759
3390 4.99517 18.6249 1.93974
3395 5.07198 18.345 0.987692
3399 5.13654 18.1783 0.179681
3403 5.17641 18.1032 0.794543
3411 5.27674 18.1279 1.58669
3421 5.17454 16.8461 1.00546
3425 5.33466 18.0083 1.344
3488 4.63035 16.9106 2.41336
3493 4.07055 15.9652 0.155685
-1 0 0 0
3498 4.60336 18.0356 3.47346
3504 4.57177 18.8871 3.62499
-1 0 0 0
3508 4.28742 16.026 0.543278
-1 0 0 0
3513 4.52471 19.4913 3.22434
-1 0 0 0
3520 4.56271 16.0621 1.59677
3530 4.41462 16.0437 0.0539989
-1 0 0 0
3536 4.50273 19.1634 1.84093
3540 4.48712 19.0632 1.24449
3545 4.53709 18.9425 0.181807
3550 4.55126 18.7649 0.827681
3559 4.35132 17.1789 0.211807
3572 4.59917 18.1821 0.821769
3580 4.60463 17.9718 0.441725
3611 4.47367 16.0771 0.0931963
3627 4.47378 16.1274 0.111197
3635 4.56456 17.2991 2.73328
3639 4.56861 17.6864 3.22582
3643 4.602 18.2735 3.53181
3647 4.59109 18.7076 3.66467
3652 4.62821 19.2374 3.57014
3656 4.63625 19.6743 3.27652
-1 0 0 0
3661 4.27078 16.3506 0.301249
-1 0 0 0
3665 4.56404 19.1068 3.23674
3669 4.52377 18.6887 3.09494
3675 4.46175 18.2811 2.61179
3679 4.38099 18.0008 1.91364
3686 4.4432 16.4869 0.210947
3698 4.28469 16.6796 0.0143766
3713 4.53819 16.7866 1.41874
3722 4.27687 16.3512 0.0937287
3729 4.45963 17.4629 2.55675
3733 4.43886 17.8765 3.13907
3737 4.44071 18.3813 3.51252
3741 4.41064 18.9242 3.71979
3746 4.43527 19.5433 3.68125
3751 4.42583 19.5343 3.48051
3755 4.4409 19.2938 3.14268
3763 4.51479 19.0208 3.34061
3768 4.53934 18.9921 3.12274
3772 4.59404 18.9087 2.72798
3778 4.67871 18.8233 1.8364
3782 4.6351 18.7267 1.15644
3793 4.77499 18.4334 1.09836
3797 4.64039 17.1818 1.34476
3816 4.69037 17.2718 1.48389
3824 4.86434 17.53 0.144426
3829 4.74052 17.0835 0.128108
3860 4.08638 16.379 0.408369
3864 3.95503 16.1382 0.091114
-1 0 0 0
3868 4.45739 18.2137 3.42968
3873 4.45194 18.7677 3.44343
3878 4.44419 19.2694 3.25282
3883 4.50491 19.5488 2.8023
3890 4.70611 19.4511 2.14707
3895 4.89589 19.3955 1.13071
3899 5.01815 19.3938 0.260248
3903 5.10949 19.1672 0.641446
3908 5.20501 18.927 1.25048
3913 5.32402 18.7043 1.56334
3918 5.35811 18.4582 1.62867
3938 5.0823 17.3765 0.0785216
3950 5.14745 16.7165 0.185907
-1 0 0 0
3987 -0.463981 21.9509 0.175786
-1 0 0 0
3992 4.90742 17.472 2.97878
3998 4.81385 18.294 3.51692
4003 4.7372 19.0456 3.67058
4010 4.67485 19.6999 3.49777
4014 4.62052 19.3803 3.12375
4019 4.39433 19.2592 3.21799
4025 4.05261 19.2132 3.043
4030 3.76375 19.1337 2.582
4034 3.54164 19.0854 2.03889
4043 3.11778 18.9653 0.144512
4050 2.81445 18.7928 1.07714
4054 2.58725 18.7153 1.47082
4059 2.35432 18.5889 1.68263
4064 2.13179 18.4699 1.61381
4080 1.89129 18.0568 1.44371
4114 3.36369 18.5394 2.8497
4118 3.70664 18.9178 3.17088
4123 4.12924 19.4938 3.38497
4130 4.49476 19.4663 3.29306
4138 4.33176 19.3886 3.18929
-1 0 0 0
4166 4.28399 17.7491 0.357842
