frame x y z 
480 31.5091 11.6887 -182.717
481 31.5078 11.6856 -184.719
482 31.5065 11.6825 -186.731
483 31.5052 11.6794 -188.754
484 31.504 11.6763 -190.789
485 31.5027 11.6733 -192.834
486 31.5014 11.6702 -194.889
487 31.5001 11.6671 -196.956
488 31.4988 11.664 -199.034
489 31.4975 11.6609 -201.122
490 31.4962 11.6578 -203.221
491 31.4949 11.6548 -205.331
492 31.4936 11.6517 -207.453
493 31.4923 11.6486 -209.584
494 31.4911 11.6455 -211.727
495 31.4898 11.6424 -213.881
496 31.4885 11.6393 -216.045
497 31.4872 11.6363 -218.221
498 31.4859 11.6332 -220.407
499 31.4846 11.6301 -222.604
500 31.4833 11.627 -224.812
501 31.482 11.6239 -227.031
502 31.4807 11.6208 -229.26
503 31.4794 11.6178 -231.501
504 31.4782 11.6147 -233.752
505 31.4769 11.6116 -236.015
506 31.4756 11.6085 -238.288
507 31.4743 11.6054 -240.572
508 31.473 11.6023 -242.867
509 31.4717 11.5993 -245.173
510 31.4704 11.5962 -247.489
511 31.4691 11.5931 -249.817
512 31.4678 11.59 -252.155
513 31.4665 11.5869 -254.504
514 31.4653 11.5839 -256.864
515 31.464 11.5808 -259.235
516 31.4627 11.5777 -261.617
517 31.4614 11.5746 -264.01
518 31.4601 11.5715 -266.414
519 31.4588 11.5684 -268.828
520 31.4575 11.5654 -271.253
521 31.4562 11.5623 -273.689
522 31.4549 11.5592 -276.137
523 31.4536 11.5561 -278.594
524 31.4524 11.553 -281.063
525 31.4511 11.5499 -283.543
526 31.4498 11.5469 -286.033
527 31.4485 11.5438 -288.535
528 31.4472 11.5407 -291.047
529 31.4459 11.5376 -293.57
530 31.4446 11.5345 -296.104
531 31.4433 11.5314 -298.649
532 31.442 11.5284 -301.205
533 31.4407 11.5253 -303.771
534 31.4395 11.5222 -306.349
535 31.4382 11.5191 -308.937
536 31.4369 11.516 -311.536
537 31.4356 11.5129 -314.146
538 31.4343 11.5099 -316.767
539 31.433 11.5068 -319.399
540 31.4317 11.5037 -322.041
541 31.4304 11.5006 -324.695
542 31.4291 11.4975 -327.359
543 31.4278 11.4944 -330.035
544 31.4266 11.4914 -332.721
545 31.4253 11.4883 -335.418
546 31.424 11.4852 -338.126
547 31.4227 11.4821 -340.844
548 31.4214 11.479 -343.574
549 31.4201 11.4759 -346.314
550 31.4188 11.4729 -349.066
551 31.4175 11.4698 -351.828
552 31.4162 11.4667 -354.601
553 31.4149 11.4636 -357.385
554 31.4137 11.4605 -360.18
555 31.4124 11.4574 -362.985
556 31.4111 11.4544 -365.802
557 31.4098 11.4513 -368.629
558 31.4085 11.4482 -371.467
559 31.4072 11.4451 -374.316
560 31.4059 11.442 -377.176
561 31.4046 11.439 -380.047
562 31.4033 11.4359 -382.929
563 31.402 11.4328 -385.822
564 31.4008 11.4297 -388.725
565 31.3995 11.4266 -391.639
566 31.3982 11.4235 -394.565
567 31.3969 11.4205 -397.501
568 31.3956 11.4174 -400.448
569 31.3943 11.4143 -403.405
570 31.393 11.4112 -406.374
571 31.3917 11.4081 -409.354
572 31.3904 11.405 -412.344
573 31.3891 11.402 -415.345
574 31.3879 11.3989 -418.357
575 31.3866 11.3958 -421.38
576 31.3853 11.3927 -424.414
577 31.384 11.3896 -427.459
578 31.3827 11.3865 -430.514
579 31.3814 11.3835 -433.581
580 31.3801 11.3804 -436.658
581 31.3788 11.3773 -439.746
582 31.3775 11.3742 -442.845
583 31.3762 11.3711 -445.955
584 31.375 11.368 -449.076
585 31.3737 11.365 -452.208
586 31.3724 11.3619 -455.35
587 31.3711 11.3588 -458.504
588 31.3698 11.3557 -461.668
589 31.3685 11.3526 -464.843
590 31.3672 11.3495 -468.029
591 31.3659 11.3465 -471.226
592 31.3646 11.3434 -474.434
593 31.3633 11.3403 -477.652
594 31.3621 11.3372 -480.882
595 31.3608 11.3341 -484.122
596 31.3595 11.331 -487.373
597 31.3582 11.328 -490.635
598 31.3569 11.3249 -493.908
599 31.3556 11.3218 -497.192
600 31.3543 11.3187 -500.487
601 31.353 11.3156 -503.792
602 31.3517 11.3125 -507.109
603 31.3504 11.3095 -510.436
604 31.3492 11.3064 -513.774
605 31.3479 11.3033 -517.123
606 31.3466 11.3002 -520.483
607 31.3453 11.2971 -523.854
608 31.344 11.294 -527.235
609 31.3427 11.291 -530.628
610 31.3414 11.2879 -534.031
611 31.3401 11.2848 -537.445
612 31.3388 11.2817 -540.87
613 31.3375 11.2786 -544.306
614 0.00156787 0.172507 2.65364
615 0.00027787 0.169424 -0.804032
616 -0.00101213 0.166341 -4.27257
617 -0.00230213 0.163258 -7.75198
618 -0.00359213 0.160175 -11.2423
619 -0.00488213 0.157092 -14.7434
620 0.58567 1.58958 4.04252
621 0.683922 1.81293 4.24208
622 0.682632 1.80985 0.708338
623 0.849 2.28731 4.58022
624 0.952822 2.51676 4.76138
625 1.03841 2.74539 4.89812
626 1.15563 3.01217 5.06194
627 1.29222 3.21135 5.18255
628 1.36523 3.44742 5.30306
629 1.43585 3.68663 5.39212
630 1.50584 3.9052 5.48371
631 1.50455 3.90212 1.85217
632 1.73186 4.363 5.63866
633 1.82139 4.58268 5.69647
634 1.90842 4.80287 5.74615
635 1.90713 4.79979 2.07114
636 2.09164 5.24125 5.81535
637 2.24059 5.41802 5.83918
638 2.27732 5.73632 5.84055
639 2.35062 5.95154 5.84089
640 2.41986 6.18145 5.82885
641 2.51807 6.4005 5.80132
642 2.62629 6.62329 5.76448
643 2.69406 6.84662 5.7195
644 2.77193 7.08301 5.66546
645 2.85329 7.29673 5.59383
646 2.93418 7.50824 5.51734
647 3.01339 7.73414 5.4395
648 3.12262 7.99205 5.32084
649 3.21257 8.21037 5.19495
650 3.2955 8.42339 5.08991
651 3.37894 8.63837 4.9566
652 3.46588 8.84914 4.82012
653 3.54396 9.06094 4.66922
654 3.62834 9.2679 4.50979
655 3.70566 9.48213 4.34014
656 3.79819 9.69786 4.14644
657 3.8854 9.89721 3.97405
658 3.97064 10.1047 3.77057
659 4.04851 10.3091 3.55835
660 4.14217 10.5198 3.33805
661 4.22662 10.734 3.11314
662 4.30214 10.9288 2.87441
663 4.30085 10.9257 -1.10488
664 4.46678 11.3368 2.33925
665 4.54517 11.553 2.09124
666 4.62245 11.7554 1.8125
667 4.70227 11.9527 1.50413
668 4.78372 12.1567 1.21342
669 4.86988 12.3609 0.90725
670 4.94908 12.5695 0.588154
671 4.94779 12.5664 -3.47807
672 5.05183 12.8942 0.124724
673 5.11228 12.8912 0.249265
674 5.14946 12.983 0.59134
675 5.19809 13.0097 0.784392
676 5.24478 13.0612 0.989269
677 5.29332 13.1321 1.18244
678 5.31804 13.3637 1.39982
679 5.35361 13.4627 1.58654
680 5.39478 13.5375 1.73901
681 5.43776 13.6302 1.88566
682 5.48184 13.7158 2.02503
683 5.5169 13.7862 2.15206
684 5.59722 13.9695 2.31451
685 5.62886 14.05 2.4227
686 5.62757 14.0469 -1.80653
687 5.69292 14.1431 2.58131
688 5.74054 14.2196 2.64892
689 5.77565 14.2888 2.7161
690 5.81559 14.3592 2.75368
691 5.8891 14.5044 2.79211
692 5.92833 14.5891 2.82153
693 5.95805 14.6737 2.8376
694 6.01444 14.792 2.84651
695 6.04828 14.8803 2.84363
696 6.09992 14.9599 2.82848
697 6.14604 15.0485 2.79576
698 6.1771 15.1246 2.76294
699 6.22223 15.1975 2.70979
700 6.26552 15.2886 2.65113
701 6.30762 15.3691 2.57669
702 6.33735 15.4605 2.50585
703 6.37852 15.5272 2.40157
704 6.43098 15.6092 2.29634
705 6.47021 15.6914 2.18683
706 6.50934 15.777 2.07052
707 6.55313 15.8613 1.92824
708 6.59807 15.9376 1.79036
709 6.64475 16.0172 1.64082
710 6.68561 16.0949 1.47437
711 6.72478 16.1765 1.30061
712 6.76674 16.2512 1.11581
713 6.76545 16.2481 -3.40683
714 6.98332 16.487 0.653075
715 6.96356 16.5544 0.431895
716 6.95593 16.5861 0.178938
