-0.147385	0.102242
0.0620805	0.181547
0.271546	0.249985
0.477923	0.308036
0.687381	0.355384
0.868617	0.38632
1.07316	0.411323
1.23002	0.436374
1.42822	0.441626
1.57022	0.454911
1.76222	0.441257
1.88648	0.462571
2.07196	0.432478
2.17405	0.488131
2.35242	0.445584
2.43405	0.504237
2.60482	0.450048
2.65886	0.528872
2.82126	0.464926
2.85114	0.55003
3.00454	0.477152
3.03879	0.579821
3.18445	0.49939
3.19511	0.635273
3.33236	0.549451
3.37236	0.682889
3.50354	0.591633
3.53417	0.751334
3.65919	0.656207
3.68446	0.823162
3.80368	0.724423
3.81609	0.889072
3.92923	0.78682
3.96542	0.95828
4.07409	0.852738
4.08613	1.03176
4.18952	0.923468
4.21894	1.14099
4.31828	1.03136
4.36317	1.22839
4.45921	1.11676
4.48801	1.31528
4.58057	1.20153
4.61195	1.41667
4.70124	1.30162
4.75478	1.53015
4.84196	1.41404
4.90456	1.65818
4.98999	1.54172
5.04195	1.7735
5.12556	1.65596
5.20096	1.89512
5.28356	1.77693
5.35198	2.03774
5.43352	1.91932
5.48935	2.16537
5.56943	2.0464
5.63797	2.29948
5.71719	2.17988
5.78766	2.4437
5.86606	2.32398
5.94429	2.60934
6.02227	2.48983
6.11932	2.76031
6.19739	2.64072
6.29457	2.93051
6.37287	2.81111
6.47228	3.10256
6.55083	2.98357
6.63477	3.27044
6.71322	3.15142
6.81992	3.43899
6.89885	3.32014
7.00228	3.61864
7.0817	3.49998
7.16521	3.80067
7.24455	3.68242
7.36026	3.98772
7.44044	3.86968
7.55942	4.15579
7.64046	4.03764
7.74222	4.33282
7.82371	4.21453
7.9176	4.51824
7.99932	4.4002
8.11496	4.69318
8.19748	4.57489
8.31742	4.88393
8.40082	4.76594
8.51483	5.0578
8.59899	4.93946
8.72414	5.24029
8.80927	5.12198
8.92925	5.42348
9.01523	5.30498
9.14188	5.60315
9.22883	5.48455
9.32897	5.80151
9.41628	5.68298
9.51527	5.98153
9.60291	5.86285
